uuid,age_range,first_language,gender
f299859a-cb0e-4072-b036-b5bb6b73cfca_2020-08-20_21-09-26,22-25,german,male
21e7411c-2673-4f24-9d36-f3b7033ac6aa_2020-08-30_10-34-15,58-61,german,male
43411cfe-75bf-4a87-a29f-c911d9742dc6_2020-08-20_20-58-20,30-33,german,male
1bb4b27f-ddcd-4e0d-9168-4c3a285d0f13_2020-08-19_20-15-43,26-29,german,female
22805f70-6f70-443e-a5dd-022d65bc0788_2020-08-19_20-29-39,38-41,german,male
349d7d11-7942-4dd2-8adc-c3b9c504bcca_2020-08-19_19-57-45,26-29,german,male
2da2efbb-c24f-4b42-829b-dc89af8510f9_2020-08-20_10-31-11,18-21,german,male
1cf6ddf4-d244-41f2-9a1e-d7c391ac3f99_2020-08-20_08-44-14,22-25,german,female
17a10288-007d-44e2-98b0-fa436f115ff8_2020-08-20_21-02-53,34-37,german,male
6ad807d1-3178-4dc4-8100-1a9c155eebee_2020-08-20_11-00-36,30-33,german,female
66c593e3-e854-4ef8-833a-a3c4dac772f0_2020-08-20_21-19-47,26-29,german,male
115382ba-3712-4dac-b10e-0e97b9ff5c6c_2020-08-19_20-07-54,34-37,polish,male
a9694527-c681-42f8-af78-b6ad1cf7c254_2020-08-23_10-34-42,22-25,german,male
8d154a3e-033e-45cc-be81-2e9bc444317f_2020-08-19_20-11-26,22-25,german,female
a68d7b83-9953-4db5-9df5-8cf1beb89211_2020-08-19_20-43-03,18-21,german,indeterminate
dccb68d5-3eea-4ba6-994d-28877a7aceaa_2020-08-20_23-53-17,18-21,german,female
fb89de1c-b4c9-4f73-8ee6-12688519a626_2020-08-20_21-01-42,22-25,german,male
f7eb0f83-6d59-4aa7-bbda-7ccdf292dc00_2020-08-19_20-05-38,26-29,german,male
d31d243c-17cf-4680-bd53-620dc121a40d_2020-08-20_08-47-19,22-25,german,female
5f207334-f9d8-46a0-b8a5-1c34eb68344d_2020-08-20_04-47-56,34-37,german,male
7e6d88ef-4951-4b05-beb1-8a2198c9a371_2020-08-20_18-51-16,26-29,german,male
7bf7dc15-91c0-4612-a562-c6bae389e2b1_2020-08-20_04-48-42,30-33,german,male
eac7f57a-2fa7-4b1e-a6d8-9a2350cdee7f_2020-08-19_20-35-56,18-21,german,male
ff672cbd-bead-4210-948b-6eea5455b1b5_2020-08-20_22-04-38,22-25,german,male
321a869b-0ab2-480a-9c4c-24a3d7328d0a_2020-08-19_20-17-57,22-25,german,female
bfaeb929-31de-44f4-843d-16abd3832c8c_2020-09-13_14-16-02,62-65,german,male
29de9c39-acdc-40b1-975d-4e1bf841de82_2020-08-20_21-03-06,30-33,german,male
67088833-d730-45ad-b54d-cd27254d6022_2020-08-21_08-31-15,34-37,german,male
82e48ff4-2f55-4f17-8b16-c9794d39d584_2020-09-05_15-12-32,42-45,german,male
187a3ebf-0c59-48cb-b0a0-7fdf8a00c819_2020-08-19_20-04-40,38-41,russian,female
82db6c8a-913b-445f-9da7-12e00ef72dc5_2020-08-19_20-29-08,30-33,german,male
a4bf8a48-7b2f-4dd4-8f5f-fde8827800ea_2020-08-19_22-05-23,18-21,german,male
0146288a-207e-428b-8931-04a5aafda941_2020-08-20_16-41-53,18-21,german,male
f27e4adc-c26a-4463-9c5c-2fccf152d575_2020-08-19_20-10-17,50-53,german,male
d86b6cc4-b457-4b54-b13e-c4b207501f42_2020-08-29_18-53-10,42-45,german,male
adcfc8a7-7ab3-43e6-a9ca-6b3b140a8f4e_2020-08-20_05-24-25,18-21,german,female
d17e8d02-db1f-4c83-9e0d-719d2a50721a_2020-08-20_21-01-24,18-21,german,male
362cc692-736b-4602-a497-cf190f32367b_2020-08-19_20-34-32,18-21,german,male
9d1fd6df-a64a-4de8-b180-084dba969e01_2020-08-19_22-27-56,34-37,german,indeterminate
bb05292a-32da-4c0a-8c0b-b09d368e20bc_2020-08-20_21-07-07,30-33,german,male
9818f360-20aa-4764-a5fb-4b19ba5bd0e5_2020-08-26_19-17-11,22-25,german,indeterminate
91e4e5dd-18ea-4b8d-958f-bb911ebb10d2_2020-08-20_18-08-52,30-33,german,male
4b0769e5-cd9b-437f-be63-63b84d160a78_2020-08-19_20-10-44,26-29,german,male
3ee96a2b-a3cb-4a6f-b7ee-a82e2125d2d5_2020-08-20_07-45-42,18-21,german,male
a94d2079-7dfc-4d8d-a367-162e553a4762_2020-08-19_20-44-47,30-33,german,male
20603a30-d1dd-476a-8bc4-e5603dd9d417_2020-08-19_20-32-40,34-37,german,female
eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
23d04e41-664a-41d2-932a-eff18b0a1ce2_2020-08-20_08-11-47,18-21,german,male
2e59cc87-063e-4108-ab9f-0ff6faf2a37e_2020-08-31_05-11-53,50-53,german,female
