,ID,EXPECTED_RESULT,EXPECTED_TEXT,IDEA,TYPE,PATH,UUID,AGE_RANGE,FIRST_LANGUAGE,GENDER
0,your_word,0,your word,9,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_your_word.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
1,right_hander,0,right-hander,4,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_right_hander.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
2,backwardness,0,backwardness,7,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_backwardness.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
3,byte,0,byte,8,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_byte.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
4,left,1,left,5,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
5,felt,0,felt,1,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_felt.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
6,go_forward,1,go forward,3,FORWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_forward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
7,wright,0,wright,2,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_wright.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
8,rightmost,0,rightmost,4,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_rightmost.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
9,go_away,1,go away,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_go_away.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
10,drive_backward,1,drive backward,3,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_backward.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
11,right_left,0,right left,0,RIGHT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_right_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
12,manufactured,0,manufactured,8,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_manufactured.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
13,clefting,0,clefting,2,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_clefting.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
14,theft,0,theft,8,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_theft.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
15,do_a_barrel_roll,1,do a barrel roll,7,NEUTRAL,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_do_a_barrel_roll.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
16,drive_left,1,drive left,3,LEFT,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drive_left.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
17,drawback,0,drawback,1,BACKWARD,/Users/Tobias/Desktop/Bachelorarbeit/Code/VoiceControll/Auswertung/data/soundfiles/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13/eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13_drawback.wav,eeb0bcca-bd9c-48ed-9742-58e99db59a89_2020-09-13_15-20-13,38-41,german,male
